tweet,emoji,text,compound,sentiment
To start the day better 🙌😉 you need the right energy that only ♡ can give ☆☆☆ ♫ *´”)  ██ ¸.•´¸.•*´¨) ¸.•*¨)…,🙌😉,To start the day better  you need the right energy that only ♡ can give ☆☆☆ ♫ *´”)  ██ ¸.•´¸.•*´¨) ¸.•*¨)…,0.6124,positive
MTV BR KPOP Explosion BTS 49.3m+🌟 EXO 32.2m+ Total est gap 17m+ ©btsvotingteam Good J…,🌟©,MTV BR KPOP Explosion BTS 49.3m+ EXO 32.2m+ Total est gap 17m+ btsvotingteam Good J…,0.4404,positive
"""My man!"" makes a special request of Denzel Washington 😂",😂,"""My man!"" makes a special request of Denzel Washington ",0.4574,positive
.. i thought it looked familiar 👀,👀,.. i thought it looked familiar ,0.0,neutral
This is my time to shine! 🙌,🙌,This is my time to shine! ,0.0,neutral
Watching the now good game come see us downtown!!!! 🚀🚀🚀🚀🔥🔥🔥🔥,🚀🚀🚀🚀🔥🔥🔥🔥,Watching the now good game come see us downtown!!!! ,0.6209,positive
"follow everyone who retweets this, 4mins️️️🌼",🌼,"follow everyone who retweets this, 4mins️️️",0.0,neutral
Thank you 😎,😎,Thank you ,0.3612,positive
this is what the world map sounds like on the piano😮,😮,this is what the world map sounds like on the piano,0.3612,positive
Awe cute 😘,😘,Awe cute ,0.4588,positive
I’m From Texas And We Do This Thing Called  😅,😅,I’m From Texas And We Do This Thing Called  ,0.0,neutral
Add our Snapchat 👉 UncensoredTV 👈,👉👈,Add our Snapchat  UncensoredTV ,0.0,neutral
had the stupidest smile on my face this whole video. love this man ❤️,❤,had the stupidest smile on my face this whole video. love this man ️,0.5106,positive
Gain 1000 actives real quick! 👉 Retweet fast 👉 Follow everyone 👉 Follow back,👉👉👉,Gain 1000 actives real quick!  Retweet fast  Follow everyone  Follow back,0.6996,positive
Follow EVERYONE who retweets or likes this! 🔥🔥,🔥🔥,Follow EVERYONE who retweets or likes this! ,0.4753,positive
"happy WEDNESDAY! YOU are in control of your happiness, and what kind of day you will have. Make today fcking AWESOME🤗🤗",🤗🤗,"happy WEDNESDAY! YOU are in control of your happiness, and what kind of day you will have. Make today fcking AWESOME",0.925,positive
That scene 😂😂🙈🙈,😂😂🙈🙈,That scene ,0.0,neutral
"Not at all affected by the  problems in ATM because no money in account, no cash to withdraw. *Cries in Corner*😭",😭,"Not at all affected by the  problems in ATM because no money in account, no cash to withdraw. *Cries in Corner*",-0.6864,negative
This lil bitch like keyshia cole dawg she heaven sent 😌🤤,😌🤤,This lil bitch like keyshia cole dawg she heaven sent ,0.25,positive
"my room is never actually ""dirty"" it's just CLOTHES 😩😭",😩😭,"my room is never actually ""dirty"" it's just CLOTHES ",0.0,neutral
"😂😂😂 ""i put sugar in the soup""",😂😂😂," ""i put sugar in the soup""",0.0,neutral
Gain 400 followers fast 👉 Retweet 👉 Follow everyone 👉 Follow back,👉👉👉,Gain 400 followers fast  Retweet  Follow everyone  Follow back,0.5267,positive
LMFAOO I DIED 😂,😂,LMFAOO I DIED ,-0.5574,negative
Damn GH is on 🔥Ibrah case make like dem dey act Narcos..!!,🔥,Damn GH is on Ibrah case make like dem dey act Narcos..!!,-0.1984,negative
Stampede ❗️❗️❗️👀 Get out the way 🦍🦍 the Apes are on the way This Saturday will you be the Last man Standing when they pack t…,❗❗❗👀🦍🦍,Stampede ️️️ Get out the way  the Apes are on the way This Saturday will you be the Last man Standing when they pack t…,-0.4215,negative
It wouldn’t be Apink without mukbang. Chorong pointing that at Hayoung like a gun😂,😂,It wouldn’t be Apink without mukbang. Chorong pointing that at Hayoung like a gun,0.0258,neutral
"🍻 Plenty of information available on how your community can own its local pub, from our stand at the East Anglian Beer…",🍻," Plenty of information available on how your community can own its local pub, from our stand at the East Anglian Beer…",0.0,neutral
Hair Too Long. Out Friday!!! 🚨,🚨,Hair Too Long. Out Friday!!! ,0.0,neutral
NAHH FR🤞🏾🤞🏾,🤞🏾🤞🏾,NAHH FR,0.0,neutral
Yuuuuuup! Devil is a liar (remix) ft. M.anifest out tomorrow ⚡️🙅🏿‍♂️🕺🏿,⚡🙅🏿♂🕺🏿,Yuuuuuup! Devil is a liar (remix) ft. M.anifest out tomorrow ️‍️,-0.8398,negative
ONCE AGAIN I AM FALLIN IN LOVE WITH HIM 😭,😭,ONCE AGAIN I AM FALLIN IN LOVE WITH HIM ,0.6369,positive
MY BEST FRIEND IS A FUCKING LICENSED COSMETOLOGIST BITCHHHHHHHHHHH ! Fuck u meannnnnn🤑 Im so proud of her bruh word…,🤑,MY BEST FRIEND IS A FUCKING LICENSED COSMETOLOGIST BITCHHHHHHHHHHH ! Fuck u meannnnnn Im so proud of her bruh word…,0.8922,positive
Just watch black dude face the whole time 😂,😂,Just watch black dude face the whole time ,0.0,neutral
Cis women and trans women are both real women. ❤️,❤,Cis women and trans women are both real women. ️,0.0,neutral
I’ve missed you! See you soon! ♥️,♥,I’ve missed you! See you soon! ️,-0.4184,negative
Fighting 😆,😆,Fighting ,-0.3612,negative
Who cares you old and used news let’s face it you’re best days are behind you old adult film actress 😩,😩,Who cares you old and used news let’s face it you’re best days are behind you old adult film actress ,0.802,positive
"BROCKHAMPTON Is That Next Level, New New. Love these guys. 🔥 🔥🔥",🔥🔥🔥,"BROCKHAMPTON Is That Next Level, New New. Love these guys.  ",0.6369,positive
Good morning Twitter Please RT if you like his work. 😘,😘,Good morning Twitter Please RT if you like his work. ,0.7717,positive
THIS IS THE SOUND YOU HEAR WHEN YOU ENTER THE GATES OF HEAVEN 😍♡,😍,THIS IS THE SOUND YOU HEAR WHEN YOU ENTER THE GATES OF HEAVEN ♡,0.5106,positive
We're going tonight too!! 4000 miles west of yas 😄,😄,We're going tonight too!! 4000 miles west of yas ,0.0,neutral
I guess my dad is afraid of airhorns too... 🤷🏽‍♀️,🤷🏽♀,I guess my dad is afraid of airhorns too... ‍️,0.0,neutral
"The  within music ....... 🤔🤔  ,  ,  ,  ,  ,…",🤔🤔,"The  within music .......   ,  ,  ,  ,  ,…",0.0,neutral
First 13 PTS to LeBron! lead 13-1 in Cleveland. 📺:,📺,First 13 PTS to LeBron! lead 13-1 in Cleveland. :,0.0,neutral
I wanna go but I got to work 😕,😕,I wanna go but I got to work ,0.0,neutral
jin honestly gives the best advice and encouragement ☹️ bts are so lucky to have someone like him as their hyung https:…,☹,jin honestly gives the best advice and encouragement ️ bts are so lucky to have someone like him as their hyung https:…,0.9443,positive
"🍿Disney Q3 Studio Releases Alone (Avengers Infinity War, SOLO, Incredibles 2) Will EACH Generate $1 Billion+ Box Offic…",🍿,"Disney Q3 Studio Releases Alone (Avengers Infinity War, SOLO, Incredibles 2) Will EACH Generate $1 Billion+ Box Offic…",-0.7096,negative
And it begins.. 2cm dilated 😁❤👶,😁❤👶,And it begins.. 2cm dilated ,0.0,neutral
"RETWEET this, and we’ll plant TWO TREES. Yep, that’s right. Two trees. Also, 👀 this is the gorgeous forest.",👀,"RETWEET this, and we’ll plant TWO TREES. Yep, that’s right. Two trees. Also,  this is the gorgeous forest.",0.7351,positive
I bet y’all wont retweet this 🙌🏽,🙌🏽,I bet y’all wont retweet this ,0.0,neutral
EXO-CBX is No.1 in Synnara Chart and officially sold out! Another record. Congrats king sub - unit 🎊🧡 🌟 # 1 WW iTunes…,🎊🧡🌟,EXO-CBX is No.1 in Synnara Chart and officially sold out! Another record. Congrats king sub - unit   # 1 WW iTunes…,0.5707,positive
Happy birthday to 🎉🎂,🎉🎂,Happy birthday to ,0.5719,positive
"📷 If you’d like more interaction with me, this is my Snapchat code. You can also follow me on...",📷," If you’d like more interaction with me, this is my Snapchat code. You can also follow me on...",0.3612,positive
Retweet &amp; I'll draw ur avi 😋😜,😋😜,Retweet &amp; I'll draw ur avi ,0.0,neutral
"Bitch slapped the blunt out of my mouth, She done fucked up I’m cooking her ass tonight 😤😂",😤😂,"Bitch slapped the blunt out of my mouth, She done fucked up I’m cooking her ass tonight ",-0.9136,negative
Please Kindly help me Re-tweet the pinned tweet on my TL Help with this pls thnx.. RT👇 …,👇,Please Kindly help me Re-tweet the pinned tweet on my TL Help with this pls thnx.. RT …,0.8807,positive
RT: Cherry Run ES    for 3D Game Programming (1-6th Grade) @ STEM Summer Camp 🕰️🖥️🎮💎,🕰🖥🎮💎,RT: Cherry Run ES    for 3D Game Programming (1-6th Grade) @ STEM Summer Camp ️️,0.0,neutral
-First jump!! 😍🦆🦆🦆🦆🦆🦆🦆🦆🦆🦆🦆🦆🦆,😍🦆🦆🦆🦆🦆🦆🦆🦆🦆🦆🦆🦆🦆,-First jump!! ,0.0,neutral
Can't stop laughing 🤣🤣,🤣🤣,Can't stop laughing ,-0.1877,negative
So we’re really only doing radio tour this cb?? 😑,😑,So we’re really only doing radio tour this cb?? ,0.0,neutral
"wp to you &amp; your team, 1 more ! 💪🏻",💪🏻,"wp to you &amp; your team, 1 more ! ",0.3164,positive
If it can't better you then it's a distraction👎🏾,👎🏾,If it can't better you then it's a distraction,-0.6131,negative
"Happy Birthday, 🎈🎉  Hope you have an amazing day! ❤️ you!!",🎈🎉❤,"Happy Birthday,   Hope you have an amazing day! ️ you!!",0.9057,positive
😳 wow look at this rare variegated Agave shawii at ! Swipe left to see a similar…,😳, wow look at this rare variegated Agave shawii at ! Swipe left to see a similar…,0.6239,positive
-♡ my list 《《a thread ^***^☆ 💖🌈 🍭♥,💖🌈🍭♥,-♡ my list 《《a thread ^***^☆  ,0.0,neutral
happy bday pretty 💗💗💗,💗💗💗,happy bday pretty ,0.7845,positive
That Rahane run out/stumping tho ! 🏏👌🏾💯💥 superb work from to get an important dismissal !,🏏👌🏾💯💥,That Rahane run out/stumping tho !  superb work from to get an important dismissal !,0.7568,positive
Praying for Coach Pop and his family! 🙏🏾🙏🏾🙏🏾,🙏🏾🙏🏾🙏🏾,Praying for Coach Pop and his family! ,0.4199,positive
📚 Cupid Gone Wrong by,📚, Cupid Gone Wrong by,-0.4767,negative
I don't understand how a foolish person can fall in love with someone's voice or ordinary words lol😂😂😂😂😂😂😂😂😂😂😂,😂😂😂😂😂😂😂😂😂😂😂,I don't understand how a foolish person can fall in love with someone's voice or ordinary words lol,0.8322,positive
Who made this 😂,😂,Who made this ,0.0,neutral
🔔 MTV LATIN AMERICA 🔔 [ 9:00 - 10:00 AM KST ] 1. : 73.7K+ ⚠ 2. G. : 34.3K+ Gap still not safe.…,🔔🔔⚠, MTV LATIN AMERICA  [ 9:00 - 10:00 AM KST ] 1. : 73.7K+  2. G. : 34.3K+ Gap still not safe.…,0.0,neutral
😂 my boy Best friend,😂, my boy Best friend,0.8126,positive
What ACTUALLY is the point of you? 😠     https://t.…,😠,What ACTUALLY is the point of you?      https://t.…,0.0,neutral
Enjoyyy 😘,😘,Enjoyyy ,0.0,neutral
LMAO NOT PLAYIN WITH YALL😂,😂,LMAO NOT PLAYIN WITH YALL,0.5994,positive
📷 lavenderdreamer13: the,📷, lavenderdreamer13: the,0.0,neutral
You can't beat a good set of gnashers 😁,😁,You can't beat a good set of gnashers ,-0.3412,negative
"everybody’s been telling me to post this on twitter, so here’s a video of my mom and dad trying to kill a snake 😅 https://t…",😅,"everybody’s been telling me to post this on twitter, so here’s a video of my mom and dad trying to kill a snake  https://t…",-0.6908,negative
not 승행설 but 순행설 😂 look at jihoon just standing there confused while soonyoung did his thing,😂,not 승행설 but 순행설  look at jihoon just standing there confused while soonyoung did his thing,-0.4497,negative
The one that got away 😞,😞,The one that got away ,0.0,neutral
Not easy at 😍,😍,Not easy at ,-0.3412,negative
Always be mine ♥️..,♥,Always be mine ️..,0.0,neutral
Clickbank  business step by step 😀,😀,Clickbank  business step by step ,0.0,neutral
seokjin and jungkook slaying that falsetto wow their voices are so amazing © 12v30th,©,seokjin and jungkook slaying that falsetto wow their voices are so amazing  12v30th,0.8647,positive
there's a hope for the rage to become love. 💜🧡🖤,💜🧡🖤,there's a hope for the rage to become love. ,0.5423,positive
When he smell good af 😋,😋,When he smell good af ,0.4404,positive
⚠️ NoLimit ⚠️,⚠⚠,️ NoLimit ️,0.0,neutral
"rt to gain exo stan mutuals, follow everyone that rts and make sure to follow back 💫",💫,"rt to gain exo stan mutuals, follow everyone that rts and make sure to follow back ",0.6908,positive
This one? 💀,💀,This one? ,0.0,neutral
❗SUPPORT THE CAMPAIGNS❗ HELP  . To save the dogs from the cruel,❗❗,SUPPORT THE CAMPAIGNS HELP  . To save the dogs from the cruel,0.7404,positive
🤩😆🙌🏻 Everyone check out this site Everything sell off 80% 🛍🎁🎉ENDS TODAY!! Hurry up guy 🔥🔥🔥 https…,🤩😆🙌🏻🛍🎁🎉🔥🔥🔥, Everyone check out this site Everything sell off 80% ENDS TODAY!! Hurry up guy  https…,0.0,neutral
⚠VOTE FOR EXO-CBX⚠️ DEADLINE: 16th April 2018 Vote in these two pages👇🏻 🔗 … ⚠️🔗 …,⚠⚠👇🏻🔗⚠🔗,VOTE FOR EXO-CBX️ DEADLINE: 16th April 2018 Vote in these two pages  … ️ …,0.0,neutral
Types of people who are welcomed in the 🇬🇧,,Types of people who are welcomed in the 🇬🇧,0.34,positive
MAKE THIS HAPPEN 👑 RTTTRTRTTTTTT,👑,MAKE THIS HAPPEN  RTTTRTRTTTTTT,0.0,neutral
I left him tho so don’t let him front like he left me reason he be throwing blems on Snapchat ❗️,❗,I left him tho so don’t let him front like he left me reason he be throwing blems on Snapchat ️,0.3612,positive
♨️ Do you Want To Fuck?↴ ♨️ Free Sex Dating Cams↴ ♨️ ♨️ ♨️ …,♨♨♨♨♨,️ Do you Want To Fuck?↴ ️ Free Sex Dating Cams↴ ️ ️ ️ …,0.5574,positive
I’ll see your ❤️ with another ♥️,❤♥,I’ll see your ️ with another ️,0.0,neutral
I want both🙃,🙃,I want both,0.0772,positive
Her hair ✨🌹,✨🌹,Her hair ,0.0,neutral
I love you so much glbbi💛💛,💛💛,I love you so much glbbi,0.6369,positive
too sweet❤️,❤,too sweet️,0.0,neutral
another date to celebrate 😊,😊,another date to celebrate ,0.5719,positive
You good I’m good You on fuck shit I’m on fuck shit 💯,💯,You good I’m good You on fuck shit I’m on fuck shit ,-0.8555,negative
Wowsome Video 😗😗😗,😗😗😗,Wowsome Video ,0.0,neutral
😁. ..Winter Storm Warning in Northern Michigan,😁,. ..Winter Storm Warning in Northern Michigan,-0.34,negative
"wishing you a speedy recovery, taetae 🖤",🖤,"wishing you a speedy recovery, taetae ",0.2263,positive
🐣Retweet Like this 🐣Follow all who like and rt this 🐣Follow back all that follow you 🐣Gain followers fast,🐣🐣🐣🐣,Retweet Like this Follow all who like and rt this Follow back all that follow you Gain followers fast,0.8126,positive
"When I land in Cape Town on Friday, I will tweet “Just landed at the Winnie Madikizela-Mandela International Airport”... ✊🏾",✊🏾,"When I land in Cape Town on Friday, I will tweet “Just landed at the Winnie Madikizela-Mandela International Airport”... ",0.0,neutral
like yoooo! the caption tho 😂🤣,😂🤣,like yoooo! the caption tho ,0.4199,positive
BEING 👏🏼 A 👏🏼 FAN 👏🏼 DOES 👏🏼 NOT 👏🏼 MEAN 👏🏼 YOU 👏🏼 WERE 👏🏼 THERE 👏🏼 FROM 👏🏼 THE 👏🏼 BEGINNING 👏🏼 IT 👏🏼 MEANS 👏🏼 YOU 👏🏼 A…,👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼,BEING  A  FAN  DOES  NOT  MEAN  YOU  WERE  THERE  FROM  THE  BEGINNING  IT  MEANS  YOU  A…,0.3182,positive
"💯🏃Follow everyone who Retweets &amp; likes this , turn on my notifications follow me &amp; i Follow back 🔥🎱💯 GainWith😃⬇🏁💯⬇ 🚨 🚅",💯🏃🔥🎱💯😃⬇🏁💯⬇🚨🚅,"Follow everyone who Retweets &amp; likes this , turn on my notifications follow me &amp; i Follow back  GainWith  ",0.4215,positive
🚨ATTENTION ARMY 🚨 Radio host wants to throw a BTS PARTY live on the radio - this would involve an hour of BTS…,🚨🚨,ATTENTION ARMY  Radio host wants to throw a BTS PARTY live on the radio - this would involve an hour of BTS…,0.5319,positive
"I can't believed seokjin did that, so extra! 😂 [   ]",😂,"I can't believed seokjin did that, so extra!  [   ]",0.0,neutral
I pray everyday that GOD keep me on the right path to success.🙏🏾,🙏🏾,I pray everyday that GOD keep me on the right path to success.,0.8331,positive
[FC]  x      🐰🐺 This is how hard Wonho tried.,🐰🐺,[FC]  x       This is how hard Wonho tried.,-0.1027,negative
one of my fave of his puns. bacheuheu *note: i love other’s reaction as well 💕💕💕,💕💕💕,one of my fave of his puns. bacheuheu *note: i love other’s reaction as well ,0.8481,positive
for ! 📸 Special thanks to and for hel…,📸,for !  Special thanks to and for hel…,0.7088,positive
South Africa 🇿🇦 is still: Sore Crying Bleeding Racist Unequal Not Ok There is no rainbow nation BS ‼️,‼,South Africa 🇿🇦 is still: Sore Crying Bleeding Racist Unequal Not Ok There is no rainbow nation BS ️,-0.9336,negative
"Before you cut the grass, check for baby rabbits 🐰😱😱😱",🐰😱😱😱,"Before you cut the grass, check for baby rabbits ",-0.2732,negative
How Somali boys walk into a lounge tryna see who's there 😂😂,😂😂,How Somali boys walk into a lounge tryna see who's there ,0.0,neutral
[HQ] 170414    @ ICN Airport OTW to Taipei © Be My Brownie …,©,[HQ] 170414    @ ICN Airport OTW to Taipei  Be My Brownie …,0.0,neutral
It's always better when we're together. 😊,😊,It's always better when we're together. ,0.4404,positive
Petal Metal Highligthers are gorgeous 💖,💖,Petal Metal Highligthers are gorgeous ,0.6124,positive
🌟Fandom of the year🌟,🌟🌟,Fandom of the year,0.0,neutral
Anfield looking 👌👌👌,👌👌👌,Anfield looking ,0.0,neutral
The Lord💖 is my strength and my shield. My heart trusted in Him and I am helped. My heart greatly rejoices and I will…,💖,The Lord is my strength and my shield. My heart trusted in Him and I am helped. My heart greatly rejoices and I will…,0.8655,positive
&gt;&gt;180330 ICN✈️TPE Departure&lt;&lt;,✈,&gt;&gt;180330 ICN️TPE Departure&lt;&lt;,0.0,neutral
“Ion claim her” 😂😂😭😭☠️☠️,😂😂😭😭☠☠,“Ion claim her” ️️,0.0,neutral
Oh man congrats .🎉 didn’t even know u had a babygirl,🎉,Oh man congrats . didn’t even know u had a babygirl,0.5267,positive
Thank youuu ate J! 😍❤,😍❤,Thank youuu ate J! ,0.4199,positive
➫ NCT We the Dream Chaser       and  🔜,🔜,➫ NCT We the Dream Chaser       and  ,0.25,positive
👏👏👏👏hooray x x,👏👏👏👏,hooray x x,0.5106,positive
Lil Duval jammin out to Drake’s ‘Nice For What’ 💨😂👍,💨😂👍,Lil Duval jammin out to Drake’s ‘Nice For What’ ,0.0,neutral
It's matchday! ⚽️ COME ON CHELSEA! 💪,⚽💪,It's matchday! ️ COME ON CHELSEA! ,0.0,neutral
It’s time to get back to being Incredible. Watch the new trailer for  now. 💥,💥,It’s time to get back to being Incredible. Watch the new trailer for  now. ,0.0,neutral
lol don't mind my tweets just bypass them 😂,😂,lol don't mind my tweets just bypass them ,0.4215,positive
🚦🚂🌃🚂🌃🚂🌃🚂🌃🚂🌃🚂🏃🏾 👍🏾Need FOLLOWERS⁉️😈 👣FOLLOW Me &amp; 🔑 ♻️RETWEET HER  👣FOLLOW WHO RET…,🚦🚂🌃🚂🌃🚂🌃🚂🌃🚂🌃🚂🏃🏾👍🏾⁉😈👣🔑♻👣, Need FOLLOWERS️ FOLLOW Me &amp;  ️RETWEET HER  FOLLOW WHO RET…,0.0,neutral
They all started to die immediately 😩😂🤧,😩😂🤧,They all started to die immediately ,-0.5994,negative
Omg look how far away i am😩😩,😩😩,Omg look how far away i am,0.0,neutral
RT: Centreville Presbyterian Church for       🕰️🖥️🎮💎,🕰🖥🎮💎,RT: Centreville Presbyterian Church for       ️️,0.0,neutral
Describe One Word about THALA AJITH ☺ Must Comment! ADV HBD DEAR THALA AJITH,☺,Describe One Word about THALA AJITH  Must Comment! ADV HBD DEAR THALA AJITH,0.561,positive
💕 One song. Thousand memories.,💕, One song. Thousand memories.,0.0,neutral
The 2018  tip off TODAY! 3pm/et: x 📺:  5:30pm/et: x 📺: 8pm/…,📺📺,The 2018  tip off TODAY! 3pm/et: x :  5:30pm/et: x : 8pm/…,0.0,neutral
